 created by the TBmodels package    Fri, 25 Jul 2025 17:51:57 JST
           8
          21
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
    1   -2    0    6    8      0.00000000000000      0.00000000000000
    1   -2    0    7    8      0.00000000000000      0.00000000000000
    1   -2    0    8    8      0.00000000000000      0.00000000000000
    1   -1   -1    1    1      0.00000000000000      0.00000000000000
    1   -1   -1    2    1      0.00000000000000      0.00000000000000
    1   -1   -1    3    1      0.00000000000000      0.00000000000000
    1   -1   -1    4    1      0.00000000000000      0.00000000000000
    1   -1   -1    5    1     -1.28910853225346      0.00000000000000
    1   -1   -1    6    1      1.40498282446299     -0.00000000000000
    1   -1   -1    7    1      1.20351469929191     -0.00000000000000
    1   -1   -1    8    1      1.59044640714880     -0.00000000000000
    1   -1   -1    1    2      0.00000000000000      0.00000000000000
    1   -1   -1    2    2      0.00000000000000      0.00000000000000
    1   -1   -1    3    2      0.00000000000000      0.00000000000000
    1   -1   -1    4    2      0.00000000000000      0.00000000000000
    1   -1   -1    5    2     -1.40498282446299     -0.00000000000000
    1   -1   -1    6    2      0.62641782168747      0.00000000000000
    1   -1   -1    7    2      1.51032723870104     -0.00000000000000
    1   -1   -1    8    2      1.99613746547350     -0.00000000000000
    1   -1   -1    1    3      0.00000000000000      0.00000000000000
    1   -1   -1    2    3      0.00000000000000      0.00000000000000
    1   -1   -1    3    3      0.00000000000000      0.00000000000000
    1   -1   -1    4    3      0.00000000000000      0.00000000000000
    1   -1   -1    5    3     -1.20351469929191     -0.00000000000000
    1   -1   -1    6    3      1.51032723870104      0.00000000000000
    1   -1   -1    7    3      0.15552769146961      0.00000000000000
    1   -1   -1    8    3      1.70561517126794      0.00000000000000
    1   -1   -1    1    4      0.00000000000000      0.00000000000000
    1   -1   -1    2    4      0.00000000000000      0.00000000000000
    1   -1   -1    3    4      0.00000000000000      0.00000000000000
    1   -1   -1    4    4      0.00000000000000      0.00000000000000
    1   -1   -1    5    4     -1.59044640714880     -0.00000000000000
    1   -1   -1    6    4      1.99613746547350      0.00000000000000
    1   -1   -1    7    4      1.70561517126794     -0.00000000000000
    1   -1   -1    8    4      1.11727110596335      0.00000000000000
    1   -1   -1    1    5      0.00000000000000      0.00000000000000
    1   -1   -1    2    5      0.00000000000000      0.00000000000000
    1   -1   -1    3    5      0.00000000000000      0.00000000000000
    1   -1   -1    4    5      0.00000000000000      0.00000000000000
    1   -1   -1    5    5      0.00000000000000      0.00000000000000
    1   -1   -1    6    5      0.00000000000000      0.00000000000000
    1   -1   -1    7    5      0.00000000000000      0.00000000000000
    1   -1   -1    8    5      0.00000000000000      0.00000000000000
    1   -1   -1    1    6      0.00000000000000      0.00000000000000
    1   -1   -1    2    6      0.00000000000000      0.00000000000000
    1   -1   -1    3    6      0.00000000000000      0.00000000000000
    1   -1   -1    4    6      0.00000000000000      0.00000000000000
    1   -1   -1    5    6      0.00000000000000      0.00000000000000
    1   -1   -1    6    6      0.00000000000000      0.00000000000000
    1   -1   -1    7    6      0.00000000000000      0.00000000000000
    1   -1   -1    8    6      0.00000000000000      0.00000000000000
    1   -1   -1    1    7      0.00000000000000      0.00000000000000
    1   -1   -1    2    7      0.00000000000000      0.00000000000000
    1   -1   -1    3    7      0.00000000000000      0.00000000000000
    1   -1   -1    4    7      0.00000000000000      0.00000000000000
    1   -1   -1    5    7      0.00000000000000      0.00000000000000
    1   -1   -1    6    7      0.00000000000000      0.00000000000000
    1   -1   -1    7    7      0.00000000000000      0.00000000000000
    1   -1   -1    8    7      0.00000000000000      0.00000000000000
    1   -1   -1    1    8      0.00000000000000      0.00000000000000
    1   -1   -1    2    8      0.00000000000000      0.00000000000000
    1   -1   -1    3    8      0.00000000000000      0.00000000000000
    1   -1   -1    4    8      0.00000000000000      0.00000000000000
    1   -1   -1    5    8      0.00000000000000      0.00000000000000
    1   -1   -1    6    8      0.00000000000000      0.00000000000000
    1   -1   -1    7    8      0.00000000000000      0.00000000000000
    1   -1   -1    8    8      0.00000000000000      0.00000000000000
    1   -1    0    1    1     -0.00542313225200      0.00000000000000
    1   -1    0    2    1     -0.00013307993636      0.00000000000000
    1   -1    0    3    1     -0.00013307993636     -0.00000000000000
    1   -1    0    4    1     -0.01000615339330     -0.00000000000000
    1   -1    0    5    1     -0.49142027196898      0.00000000000000
    1   -1    0    6    1     -0.59337807325403     -0.00000000000000
    1   -1    0    7    1     -0.38783387066329     -0.00000000000000
    1   -1    0    8    1      0.75278502604010     -0.00000000000000
    1   -1    0    1    2      0.00013307993636      0.00000000000000
    1   -1    0    2    2     -0.12352303917319      0.00000000000000
    1   -1    0    3    2     -0.03333188267838     -0.00000000000000
    1   -1    0    4    2      0.00017851194243      0.00000000000000
    1   -1    0    5    2      0.59337807325403     -0.00000000000000
    1   -1    0    6    2      0.49247560733837     -0.00000000000000
    1   -1    0    7    2      0.65209108491860      0.00000000000000
    1   -1    0    8    2     -1.26602291918942     -0.00000000000000
    1   -1    0    1    3      0.00013307993636     -0.00000000000000
    1   -1    0    2    3     -0.03333188267838      0.00000000000000
    1   -1    0    3    3     -0.12352303917319      0.00000000000000
    1   -1    0    4    3      0.00017851194243     -0.00000000000000
    1   -1    0    5    3      0.38783387066329     -0.00000000000000
    1   -1    0    6    3      0.65209108491860     -0.00000000000000
    1   -1    0    7    3     -0.07908221927358     -0.00000000000000
    1   -1    0    8    3     -0.82718144425144      0.00000000000000
    1   -1    0    1    4      0.01000615339330     -0.00000000000000
    1   -1    0    2    4      0.00017851194243     -0.00000000000000
    1   -1    0    3    4      0.00017851194243      0.00000000000000
    1   -1    0    4    4      0.29133988306273     -0.00000000000000
    1   -1    0    5    4     -0.75278502604010     -0.00000000000000
    1   -1    0    6    4     -1.26602291918942      0.00000000000000
    1   -1    0    7    4     -0.82718144425144     -0.00000000000000
    1   -1    0    8    4      1.10123398412704      0.00000000000000
    1   -1    0    1    5      0.00000000000000      0.00000000000000
    1   -1    0    2    5      0.00000000000000      0.00000000000000
    1   -1    0    3    5      0.00000000000000      0.00000000000000
    1   -1    0    4    5      0.00000000000000      0.00000000000000
    1   -1    0    5    5     -0.00542313225200      0.00000000000000
    1   -1    0    6    5     -0.00013307993636      0.00000000000000
    1   -1    0    7    5     -0.00013307993636     -0.00000000000000
    1   -1    0    8    5     -0.01000615339330     -0.00000000000000
    1   -1    0    1    6      0.00000000000000      0.00000000000000
    1   -1    0    2    6      0.00000000000000      0.00000000000000
    1   -1    0    3    6      0.00000000000000      0.00000000000000
    1   -1    0    4    6      0.00000000000000      0.00000000000000
    1   -1    0    5    6      0.00013307993636      0.00000000000000
    1   -1    0    6    6     -0.12352303917319      0.00000000000000
    1   -1    0    7    6     -0.03333188267838     -0.00000000000000
    1   -1    0    8    6      0.00017851194243      0.00000000000000
    1   -1    0    1    7      0.00000000000000      0.00000000000000
    1   -1    0    2    7      0.00000000000000      0.00000000000000
    1   -1    0    3    7      0.00000000000000      0.00000000000000
    1   -1    0    4    7      0.00000000000000      0.00000000000000
    1   -1    0    5    7      0.00013307993636     -0.00000000000000
    1   -1    0    6    7     -0.03333188267838      0.00000000000000
    1   -1    0    7    7     -0.12352303917319      0.00000000000000
    1   -1    0    8    7      0.00017851194243     -0.00000000000000
    1   -1    0    1    8      0.00000000000000      0.00000000000000
    1   -1    0    2    8      0.00000000000000      0.00000000000000
    1   -1    0    3    8      0.00000000000000      0.00000000000000
    1   -1    0    4    8      0.00000000000000      0.00000000000000
    1   -1    0    5    8      0.01000615339330     -0.00000000000000
    1   -1    0    6    8      0.00017851194243     -0.00000000000000
    1   -1    0    7    8      0.00017851194243      0.00000000000000
    1   -1    0    8    8      0.29133988306273     -0.00000000000000
    1    0   -2    1    1      0.00000000000000      0.00000000000000
    1    0   -2    2    1      0.00000000000000      0.00000000000000
    1    0   -2    3    1      0.00000000000000      0.00000000000000
    1    0   -2    4    1      0.00000000000000      0.00000000000000
    1    0   -2    5    1     -0.00209532859080      0.00000000000000
    1    0   -2    6    1      0.00392096913290     -0.00000000000000
    1    0   -2    7    1     -0.00007677650804     -0.00000000000000
    1    0   -2    8    1      0.00038994249425      0.00000000000000
    1    0   -2    1    2      0.00000000000000      0.00000000000000
    1    0   -2    2    2      0.00000000000000      0.00000000000000
    1    0   -2    3    2      0.00000000000000      0.00000000000000
    1    0   -2    4    2      0.00000000000000      0.00000000000000
    1    0   -2    5    2     -0.00392096913290     -0.00000000000000
    1    0   -2    6    2      0.02330342095020     -0.00000000000000
    1    0   -2    7    2      0.00059918980797      0.00000000000000
    1    0   -2    8    2      0.00189626584612     -0.00000000000000
    1    0   -2    1    3      0.00000000000000      0.00000000000000
    1    0   -2    2    3      0.00000000000000      0.00000000000000
    1    0   -2    3    3      0.00000000000000      0.00000000000000
    1    0   -2    4    3      0.00000000000000      0.00000000000000
    1    0   -2    5    3      0.00007677650804     -0.00000000000000
    1    0   -2    6    3      0.00059918980797     -0.00000000000000
    1    0   -2    7    3     -0.00379789762871      0.00000000000000
    1    0   -2    8    3     -0.00403335896394     -0.00000000000000
    1    0   -2    1    4      0.00000000000000      0.00000000000000
    1    0   -2    2    4      0.00000000000000      0.00000000000000
    1    0   -2    3    4      0.00000000000000      0.00000000000000
    1    0   -2    4    4      0.00000000000000      0.00000000000000
    1    0   -2    5    4     -0.00038994249425      0.00000000000000
    1    0   -2    6    4      0.00189626584612      0.00000000000000
    1    0   -2    7    4     -0.00403335896394      0.00000000000000
    1    0   -2    8    4     -0.00372022571633      0.00000000000000
    1    0   -2    1    5      0.00000000000000      0.00000000000000
    1    0   -2    2    5      0.00000000000000      0.00000000000000
    1    0   -2    3    5      0.00000000000000      0.00000000000000
    1    0   -2    4    5      0.00000000000000      0.00000000000000
    1    0   -2    5    5      0.00000000000000      0.00000000000000
    1    0   -2    6    5      0.00000000000000      0.00000000000000
    1    0   -2    7    5      0.00000000000000      0.00000000000000
    1    0   -2    8    5      0.00000000000000      0.00000000000000
    1    0   -2    1    6      0.00000000000000      0.00000000000000
    1    0   -2    2    6      0.00000000000000      0.00000000000000
    1    0   -2    3    6      0.00000000000000      0.00000000000000
    1    0   -2    4    6      0.00000000000000      0.00000000000000
    1    0   -2    5    6      0.00000000000000      0.00000000000000
    1    0   -2    6    6      0.00000000000000      0.00000000000000
    1    0   -2    7    6      0.00000000000000      0.00000000000000
    1    0   -2    8    6      0.00000000000000      0.00000000000000
    1    0   -2    1    7      0.00000000000000      0.00000000000000
    1    0   -2    2    7      0.00000000000000      0.00000000000000
    1    0   -2    3    7      0.00000000000000      0.00000000000000
    1    0   -2    4    7      0.00000000000000      0.00000000000000
    1    0   -2    5    7      0.00000000000000      0.00000000000000
    1    0   -2    6    7      0.00000000000000      0.00000000000000
    1    0   -2    7    7      0.00000000000000      0.00000000000000
    1    0   -2    8    7      0.00000000000000      0.00000000000000
    1    0   -2    1    8      0.00000000000000      0.00000000000000
    1    0   -2    2    8      0.00000000000000      0.00000000000000
    1    0   -2    3    8      0.00000000000000      0.00000000000000
    1    0   -2    4    8      0.00000000000000      0.00000000000000
    1    0   -2    5    8      0.00000000000000      0.00000000000000
    1    0   -2    6    8      0.00000000000000      0.00000000000000
    1    0   -2    7    8      0.00000000000000      0.00000000000000
    1    0   -2    8    8      0.00000000000000      0.00000000000000
    1    0   -1    1    1     -0.00542313225200      0.00000000000000
    1    0   -1    2    1     -0.00824155901600      0.00000000000000
    1    0   -1    3    1      0.00258841880798      0.00000000000000
    1    0   -1    4    1     -0.00505324839380      0.00000000000000
    1    0   -1    5    1     -0.49142027196898      0.00000000000000
    1    0   -1    6    1      0.66217042296031      0.00000000000000
    1    0   -1    7    1     -0.79414389000460      0.00000000000000
    1    0   -1    8    1     -0.00798482356991     -0.00000000000000
    1    0   -1    1    2      0.00824155901600      0.00000000000000
    1    0   -1    2    2      0.16517581448452      0.00000000000000
    1    0   -1    3    2     -0.09642446880477     -0.00000000000000
    1    0   -1    4    2      0.15382439847410     -0.00000000000000
    1    0   -1    5    2     -0.66217042296031      0.00000000000000
    1    0   -1    6    2      0.73718431251887     -0.00000000000000
    1    0   -1    7    2     -1.49027001168171      0.00000000000000
    1    0   -1    8    2     -0.01492369785952     -0.00000000000000
    1    0   -1    1    3     -0.00258841880798      0.00000000000000
    1    0   -1    2    3     -0.09642446880477      0.00000000000000
    1    0   -1    3    3     -0.12140337979251      0.00000000000000
    1    0   -1    4    3     -0.06955435466320     -0.00000000000000
    1    0   -1    5    3      0.79414389000460      0.00000000000000
    1    0   -1    6    3     -1.49027001168171     -0.00000000000000
    1    0   -1    7    3      1.28245173313806      0.00000000000000
    1    0   -1    8    3      0.01764447024016     -0.00000000000000
    1    0   -1    1    4      0.00505324839380      0.00000000000000
    1    0   -1    2    4      0.15382439847410      0.00000000000000
    1    0   -1    3    4     -0.06955435466320      0.00000000000000
    1    0   -1    4    4      0.00052137002436      0.00000000000000
    1    0   -1    5    4      0.00798482356991     -0.00000000000000
    1    0   -1    6    4     -0.01492369785952      0.00000000000000
    1    0   -1    7    4      0.01764447024016      0.00000000000000
    1    0   -1    8    4     -0.50500867346510      0.00000000000000
    1    0   -1    1    5      0.00000000000000      0.00000000000000
    1    0   -1    2    5      0.00000000000000      0.00000000000000
    1    0   -1    3    5      0.00000000000000      0.00000000000000
    1    0   -1    4    5      0.00000000000000      0.00000000000000
    1    0   -1    5    5     -0.00542313225200      0.00000000000000
    1    0   -1    6    5     -0.00824155901600      0.00000000000000
    1    0   -1    7    5      0.00258841880798      0.00000000000000
    1    0   -1    8    5     -0.00505324839380      0.00000000000000
    1    0   -1    1    6      0.00000000000000      0.00000000000000
    1    0   -1    2    6      0.00000000000000      0.00000000000000
    1    0   -1    3    6      0.00000000000000      0.00000000000000
    1    0   -1    4    6      0.00000000000000      0.00000000000000
    1    0   -1    5    6      0.00824155901600      0.00000000000000
    1    0   -1    6    6      0.16517581448452      0.00000000000000
    1    0   -1    7    6     -0.09642446880477     -0.00000000000000
    1    0   -1    8    6      0.15382439847410     -0.00000000000000
    1    0   -1    1    7      0.00000000000000      0.00000000000000
    1    0   -1    2    7      0.00000000000000      0.00000000000000
    1    0   -1    3    7      0.00000000000000      0.00000000000000
    1    0   -1    4    7      0.00000000000000      0.00000000000000
    1    0   -1    5    7     -0.00258841880798      0.00000000000000
    1    0   -1    6    7     -0.09642446880477      0.00000000000000
    1    0   -1    7    7     -0.12140337979251      0.00000000000000
    1    0   -1    8    7     -0.06955435466320     -0.00000000000000
    1    0   -1    1    8      0.00000000000000      0.00000000000000
    1    0   -1    2    8      0.00000000000000      0.00000000000000
    1    0   -1    3    8      0.00000000000000      0.00000000000000
    1    0   -1    4    8      0.00000000000000      0.00000000000000
    1    0   -1    5    8      0.00505324839380      0.00000000000000
    1    0   -1    6    8      0.15382439847410      0.00000000000000
    1    0   -1    7    8     -0.06955435466320      0.00000000000000
    1    0   -1    8    8      0.00052137002436      0.00000000000000
    1    0    0    1    1      0.00312597523553      0.00000000000000
    1    0    0    2    1      0.00003458643299     -0.00000000000000
    1    0    0    3    1      0.03588955031497      0.00000000000000
    1    0    0    4    1     -0.02004507622851      0.00000000000000
    1    0    0    5    1     -0.00030000120094      0.00000000000000
    1    0    0    6    1     -0.00122214248012      0.00000000000000
    1    0    0    7    1     -0.00638289492984     -0.00000000000000
    1    0    0    8    1     -0.00088023334749     -0.00000000000000
    1    0    0    1    2     -0.00003458643299     -0.00000000000000
    1    0    0    2    2     -0.11454955732626      0.00000000000000
    1    0    0    3    2      0.00003438404487      0.00000000000000
    1    0    0    4    2     -0.00001894788082      0.00000000000000
    1    0    0    5    2      0.00122214248012      0.00000000000000
    1    0    0    6    2     -0.00818297834879      0.00000000000000
    1    0    0    7    2      0.00743151257188      0.00000000000000
    1    0    0    8    2     -0.00002073845072     -0.00000000000000
    1    0    0    1    3     -0.03588955031497      0.00000000000000
    1    0    0    2    3      0.00003438404487     -0.00000000000000
    1    0    0    3    3      0.04560182659545      0.00000000000000
    1    0    0    4    3     -0.08897056220489      0.00000000000000
    1    0    0    5    3      0.00638289492984     -0.00000000000000
    1    0    0    6    3      0.00743151257188     -0.00000000000000
    1    0    0    7    3      0.01115024939384     -0.00000000000000
    1    0    0    8    3     -0.00006153028956     -0.00000000000000
    1    0    0    1    4      0.02004507622851      0.00000000000000
    1    0    0    2    4     -0.00001894788082     -0.00000000000000
    1    0    0    3    4     -0.08897056220489     -0.00000000000000
    1    0    0    4    4     -0.06512338788044      0.00000000000000
    1    0    0    5    4      0.00088023334749     -0.00000000000000
    1    0    0    6    4     -0.00002073845072      0.00000000000000
    1    0    0    7    4     -0.00006153028956      0.00000000000000
    1    0    0    8    4     -0.01070925530710      0.00000000000000
    1    0    0    1    5     -0.00209532859080      0.00000000000000
    1    0    0    2    5      0.00131578390450      0.00000000000000
    1    0    0    3    5     -0.00155898293344     -0.00000000000000
    1    0    0    4    5      0.00337197770634     -0.00000000000000
    1    0    0    5    5      0.00312597523553      0.00000000000000
    1    0    0    6    5      0.00003458643299     -0.00000000000000
    1    0    0    7    5      0.03588955031497      0.00000000000000
    1    0    0    8    5     -0.02004507622851      0.00000000000000
    1    0    0    1    6     -0.00131578390450      0.00000000000000
    1    0    0    2    6     -0.00432403228094     -0.00000000000000
    1    0    0    3    6     -0.00326119116771     -0.00000000000000
    1    0    0    4    6      0.00912883738540     -0.00000000000000
    1    0    0    5    6     -0.00003458643299     -0.00000000000000
    1    0    0    6    6     -0.11454955732626      0.00000000000000
    1    0    0    7    6      0.00003438404487      0.00000000000000
    1    0    0    8    6     -0.00001894788082      0.00000000000000
    1    0    0    1    7      0.00155898293344     -0.00000000000000
    1    0    0    2    7     -0.00326119116771      0.00000000000000
    1    0    0    3    7      0.00464415475659      0.00000000000000
    1    0    0    4    7     -0.00849647156048      0.00000000000000
    1    0    0    5    7     -0.03588955031497      0.00000000000000
    1    0    0    6    7      0.00003438404487     -0.00000000000000
    1    0    0    7    7      0.04560182659545      0.00000000000000
    1    0    0    8    7     -0.08897056220489      0.00000000000000
    1    0    0    1    8     -0.00337197770634     -0.00000000000000
    1    0    0    2    8      0.00912883738540      0.00000000000000
    1    0    0    3    8     -0.00849647156048     -0.00000000000000
    1    0    0    4    8      0.01546517512951      0.00000000000000
    1    0    0    5    8      0.02004507622851      0.00000000000000
    1    0    0    6    8     -0.00001894788082     -0.00000000000000
    1    0    0    7    8     -0.08897056220489     -0.00000000000000
    1    0    0    8    8     -0.06512338788044      0.00000000000000
    2   -1   -1    1    1      0.00000000000000      0.00000000000000
    2   -1   -1    2    1      0.00000000000000      0.00000000000000
    2   -1   -1    3    1      0.00000000000000      0.00000000000000
    2   -1   -1    4    1      0.00000000000000      0.00000000000000
    2   -1   -1    5    1     -0.00097532496341      0.00000000000000
    2   -1   -1    6    1      0.00140243491795      0.00000000000000
    2   -1   -1    7    1     -0.00074326742333     -0.00000000000000
    2   -1   -1    8    1      0.00301963337105     -0.00000000000000
    2   -1   -1    1    2      0.00000000000000      0.00000000000000
    2   -1   -1    2    2      0.00000000000000      0.00000000000000
    2   -1   -1    3    2      0.00000000000000      0.00000000000000
    2   -1   -1    4    2      0.00000000000000      0.00000000000000
    2   -1   -1    5    2     -0.00140243491795      0.00000000000000
    2   -1   -1    6    2     -0.00297824665826      0.00000000000000
    2   -1   -1    7    2     -0.00552029500869      0.00000000000000
    2   -1   -1    8    2      0.00634480239282      0.00000000000000
    2   -1   -1    1    3      0.00000000000000      0.00000000000000
    2   -1   -1    2    3      0.00000000000000      0.00000000000000
    2   -1   -1    3    3      0.00000000000000      0.00000000000000
    2   -1   -1    4    3      0.00000000000000      0.00000000000000
    2   -1   -1    5    3      0.00074326742333     -0.00000000000000
    2   -1   -1    6    3     -0.00552029500869     -0.00000000000000
    2   -1   -1    7    3      0.00429383742028      0.00000000000000
    2   -1   -1    8    3     -0.01349528557130      0.00000000000000
    2   -1   -1    1    4      0.00000000000000      0.00000000000000
    2   -1   -1    2    4      0.00000000000000      0.00000000000000
    2   -1   -1    3    4      0.00000000000000      0.00000000000000
    2   -1   -1    4    4      0.00000000000000      0.00000000000000
    2   -1   -1    5    4     -0.00301963337105     -0.00000000000000
    2   -1   -1    6    4      0.00634480239282     -0.00000000000000
    2   -1   -1    7    4     -0.01349528557130     -0.00000000000000
    2   -1   -1    8    4      0.01058211134501     -0.00000000000000
    2   -1   -1    1    5      0.00000000000000      0.00000000000000
    2   -1   -1    2    5      0.00000000000000      0.00000000000000
    2   -1   -1    3    5      0.00000000000000      0.00000000000000
    2   -1   -1    4    5      0.00000000000000      0.00000000000000
    2   -1   -1    5    5      0.00000000000000      0.00000000000000
    2   -1   -1    6    5      0.00000000000000      0.00000000000000
    2   -1   -1    7    5      0.00000000000000      0.00000000000000
    2   -1   -1    8    5      0.00000000000000      0.00000000000000
    2   -1   -1    1    6      0.00000000000000      0.00000000000000
    2   -1   -1    2    6      0.00000000000000      0.00000000000000
    2   -1   -1    3    6      0.00000000000000      0.00000000000000
    2   -1   -1    4    6      0.00000000000000      0.00000000000000
    2   -1   -1    5    6      0.00000000000000      0.00000000000000
    2   -1   -1    6    6      0.00000000000000      0.00000000000000
    2   -1   -1    7    6      0.00000000000000      0.00000000000000
    2   -1   -1    8    6      0.00000000000000      0.00000000000000
    2   -1   -1    1    7      0.00000000000000      0.00000000000000
    2   -1   -1    2    7      0.00000000000000      0.00000000000000
    2   -1   -1    3    7      0.00000000000000      0.00000000000000
    2   -1   -1    4    7      0.00000000000000      0.00000000000000
    2   -1   -1    5    7      0.00000000000000      0.00000000000000
    2   -1   -1    6    7      0.00000000000000      0.00000000000000
    2   -1   -1    7    7      0.00000000000000      0.00000000000000
    2   -1   -1    8    7      0.00000000000000      0.00000000000000
    2   -1   -1    1    8      0.00000000000000      0.00000000000000
    2   -1   -1    2    8      0.00000000000000      0.00000000000000
    2   -1   -1    3    8      0.00000000000000      0.00000000000000
    2   -1   -1    4    8      0.00000000000000      0.00000000000000
    2   -1   -1    5    8      0.00000000000000      0.00000000000000
    2   -1   -1    6    8      0.00000000000000      0.00000000000000
    2   -1   -1    7    8      0.00000000000000      0.00000000000000
    2   -1   -1    8    8      0.00000000000000      0.00000000000000
